mode,resolution,p,median_voxel_seconds,median_speedup,median_efficiency,median_overhead_ratio,occupied_voxels,tested_voxels,samples
mpi,32,1,0.000133,1.048,1.048,-0.045,7148,18464,3
mpi,32,2,0.000245,0.569,0.284,2.517,7148,18464,3
mpi,32,4,0.000124,1.124,0.281,2.560,7148,18464,3
mpi,64,1,0.000568,0.965,0.965,0.036,29608,70996,3
mpi,64,2,0.000687,0.798,0.399,1.507,29608,70996,3
mpi,64,4,0.000511,1.072,0.268,2.730,29608,70996,3
mpi,128,1,0.002703,0.957,0.957,0.045,120534,277944,3
mpi,128,2,0.001755,1.474,0.737,0.357,120534,277944,3
mpi,128,4,0.002288,1.131,0.283,2.537,120534,277944,3
omp_atomic,32,1,0.000257,0.935,0.935,0.069,7148,18464,3
omp_atomic,32,2,0.000305,0.788,0.394,1.538,7148,18464,3
omp_atomic,32,4,0.000346,0.695,0.174,4.759,7148,18464,3
omp_atomic,64,1,0.000660,0.977,0.977,0.023,29608,70996,3
omp_atomic,64,2,0.000657,0.982,0.491,1.037,29608,70996,3
omp_atomic,64,4,0.000532,1.212,0.303,2.299,29608,70996,3
omp_atomic,128,1,0.003745,1.029,1.029,-0.028,120534,277944,3
omp_atomic,128,2,0.002837,1.358,0.679,0.472,120534,277944,3
omp_atomic,128,4,0.002061,1.870,0.467,1.139,120534,277944,3
omp_private,32,1,0.000219,1.011,1.011,-0.011,7148,18464,3
omp_private,32,2,0.000223,0.993,0.496,1.015,7148,18464,3
omp_private,32,4,0.000344,0.643,0.161,5.217,7148,18464,3
omp_private,64,1,0.000482,1.028,1.028,-0.028,29608,70996,3
omp_private,64,2,0.000584,0.849,0.424,1.356,29608,70996,3
omp_private,64,4,0.000690,0.718,0.180,4.568,29608,70996,3
omp_private,128,1,0.003016,1.165,1.165,-0.141,120534,277944,3
omp_private,128,2,0.002748,1.278,0.639,0.565,120534,277944,3
omp_private,128,4,0.002948,1.191,0.298,2.357,120534,277944,3
