resolution,processes,T1_seconds,Tp_seconds,speedup,efficiency,overhead_To_seconds,overhead_ratio_To_over_T1
32,1,0.010579333,0.010579333,1.000000,1.000000,0.000000000,0.000000
32,2,0.010579333,0.005465000,1.935834,0.967917,0.000350667,0.033146
32,4,0.010579333,0.002821333,3.749764,0.937441,0.000706000,0.066734
32,8,0.010579333,0.002762667,3.829392,0.478674,0.011522000,1.089105
64,1,0.011129333,0.011129333,1.000000,1.000000,0.000000000,0.000000
64,2,0.011129333,0.005915667,1.881332,0.940666,0.000702000,0.063077
64,4,0.011129333,0.003143000,3.540991,0.885248,0.001442667,0.129627
64,8,0.011129333,0.003204667,3.472852,0.434107,0.014508000,1.303582
96,1,0.011808333,0.011808333,1.000000,1.000000,0.000000000,0.000000
96,2,0.011808333,0.006710667,1.759636,0.879818,0.001613000,0.136598
96,4,0.011808333,0.003864333,3.055723,0.763931,0.003649000,0.309019
96,8,0.011808333,0.004576000,2.580492,0.322562,0.024799667,2.100183
128,1,0.012900333,0.012900333,1.000000,1.000000,0.000000000,0.000000
128,2,0.012900333,0.007409667,1.741014,0.870507,0.001919000,0.148756
128,4,0.012900333,0.005042333,2.558406,0.639601,0.007269000,0.563474
128,8,0.012900333,0.006148000,2.098298,0.262287,0.036283667,2.812615
